de,en,frequency
"Eigenschaften und Biosynthese von Proteinen, Nukleinsäuren und Lipiden.","Characteristics and biosynthesis of proteins, nucleic acids and lipids.",1
"Energiestoffwechselwege, Enzyme, Enzymreaktionen und Co-Enzyme.","Energy metabolism pathways, enzymes, enzyme reactions and co-enzymes.",1
"Posttranslationale Modifikationen als Regulationsprinzip, Nachweismethoden.","Post-translational modifications as a regulatory principle, detection methods.",1
"Methoden der Molekularbiologie, Manipulation von Nukleinsäuren, Genome Editing.","Methods of molecular biology, manipulation of nucleic acids, genome editing.",1
"Rekombinante Proteine, Techniken und Prinzipien.","Recombinant proteins, techniques and principles.",1
Arbeiten mit Genomdaten und Datenbanken.,Working with genomic data and databases.,1
Grundlagen des Immunsystems in Hinblick auf Antikörperproduktion.,Basics of the immune system with respect to antibody production.,1
Antikörper Herstellung und Anwendungen.,Antibody production and applications.,1
Kenntnisse der Methodik zur Analyse dieser Prozesse.,Knowledge of the methodology for analyzing these processes.,1
Tieferes Verständnis von Zellorganisation und zellulären Prozessen.,Deeper understanding of cell organization and cellular processes.,1
Organelle und Kompartimente und deren Funktion.,Organelles and compartments and their function.,1
"Protein Sortierung und Proteostase, Apoptose.","Protein sorting and proteostasis, apoptosis.",1
Einblick in biophysikalische Methoden und Einführung in die statistische Auswertung von Experimenten.,Insights into biophysical methods and introduction to the statistical analysis of experiments.,1
P,LC,1
Der Kurs soll die Grundlagen für die anschließenden ‘Elective Modules’ legen.,The course lays the foundation for subsequent elective modules.,1
Inhalte sind:,It covers:,1
Nachweis und Quantifizierung von Genexpression.,Detection and quantification of gene expression.,1
Regelmäßige Teilnahme an der praktischen Übung,Regular participation in practical exercises,1
Qualifikationsziele der Pflichtmodule MCB-P 1 bis MCB-P 5 nachweisen,Proof of the qualification objectives of compulsory modules MBC-P1 to MCB-P5.,1
Wiss. Exposé (abstract),Research proposal (abstract),1
Soft Skills / Bioethics,Soft Skills/Bioethics,1
"Präsentation, Praktikumsprotokolle, wissenschaftliches Schreiben, Bioethik","Presentation, lab reports, scientific paper, bioethics.",1
"Poster (50 %), Klausur (50 %)","Poster (50%), written examination (50%)",1
"Seminarbesuche, Teilnahme an Journal Clubs zu aktuellen wissenschaftlichen Themen","Seminar attendance, participation in journal clubs on current research topics.",1
MCB EM 91 oder,MCB EM 91 or,1
Präsentation von Ergebnissen aus Rotations und Project/Exchange,Presentation of results from the Rotation and Project/Exchange modules.,1
Präsentation i.d.R. zwei Wochen vor Abgabe der Masterarbeit,Presentation generally two weeks before submission of the master’s thesis,1
Masterarbeitw,Master’s thesisr,1
MCB‑EM 91,MCB-EM91,1
Teilnahme an laufenden Forschungsprojekten,Participation in ongoing research projects.,1
MCB‑EM 92,MCB-EM92,1
Selbstständiges experimentelles Arbeiten im Labor,Independent experimental work in the laboratory.,1
Studienjahr – Wahlpflichtmodule,Academic Year—Elective Modules,1
Zu wählen sind Module im Umfang von insgesamt 20 ECTS-LP.,Modules with a total of 20 ECTS CP must be chosen.,1
Dauer/Fach-,Duration/ Program-Related,1
Prüfungsgegenstand,Subject (Content) of Examination,1
The Molecular Basis for Spinal Muscular Atrophy (A-Modul),The Molecular Basis for Spinal Muscular Atrophy (A module),1
"Anwendung anspruchsvoller molekularbiologischer Techniken, selbstständige Versuchsplanung und ‑durchführung.","Use of sophisticated molecular biological techniques, independent planning and performance of experiments.",1
"Poster (50 %), Mündliche Prüfung (50 %)","Poster (50%), oral examination (50%)",1
MCB‑EM2,MCB-EM2,1
Optogenetics (B-Modul),Optogenetics (B module),1
MCB‑EM3,MCB-EM3,1
Molecular Biology of the Cell (A-Modul),Molecular Biology of the Cell (A module),1
MCB‑EM4,MCB-EM4,1
Mechanical Stress Protection (A-Modul),Mechanical Stress Protection (A module),1
MCB‑EM5,MCB-EM5,1
Neuronal Cell Biology (A-Modul),Neuronal Cell Biology (A module),1
"Protokoll (50 %), Mündliche Prüfung (50 %)","Report (50%), oral examination (50%)",1
MCB‑EM6,MCB-EM6,1
Transportphysiology (A-Modul),Transport Physiology (A module),1
MCB‑EM7,MCB-EM7,1
Pharmacology & Metabolism (B-Modul),Pharmacology & Metabolism (B module),1
MCB‑EM8,MCB-EM8,1
Plant Transformation (A-Modul),Plant Transformation (A module),1
MCB‑EM9,MCB-EM9,1
Quantitative Fluorescence Microscopy (B-Modul),Quantitative Fluorescence Microscopy (B module),1
MCB‑EM11,MCB-EM11,1
Molecular Membrane Biology (A-Modul),Molecular Membrane Biology (A module),1
MCB‑EM17,MCB-EM17,1
"Preventive, Predictive and Personalised Medicine (B-Modul)","Preventive, Predictive and Personalized Medicine (B module)",1
"Protokoll (60 %), Referatw (20 %), Klausur (20 %)","Report (60%), seminar talkr (20%), written examination (20%)",1
MCB‑EM18,MCB-EM18,1
Cell Mechanics (A-Modul),Cell Mechanics (A module),1
MCB‑EM20,MCB-EM20,1
Fluorescent Protein-based Biosensors (B-Modul),Fluorescent Protein-based Biosensors (B module),1
Genome Stability (B-Modul),Genome Stability (B module),1
Reconstructive Neurobiology (B-Modul),Reconstructive Neurobiology (B module),1
Applications of CrispR/Cas to study neuronal function (B-Modul),Applications of CrispR/Cas to Study Neuronal Function (B module),1
Referatw (50 %),Seminar talkr (50%),1
Methods in Developmental- and Tumorpathology (B-Modul),Methods in Developmental and Tumor Pathology (B module),1
Molecular Haematology (B-Modul),Molecular Haematology (B module),1
Mitochondrial Biology (B-Modul),Mitochondrial Biology (B module),1
Tumor Immunology (B-Modul),Tumor Immunology (B module),1
Strategien -und Analysen,strategies and analysis.,1
Protein Biochemistry (B-Modul),Protein Biochemistry (B module),1
Brown Fat RNA Dynamics (B-Modul),Brown Fat RNA Dynamics (B module),1
Lokalisierungsspezifischer Nachweis von mRNAs mit Fluoreszenzsonden in Gewebeschnitten der Maus (RNAScope),Localization-specific detection of mRNAs with fluorescent probes in mouse tissue sections (RNAScope),1
- Vergleich von mRNA- und Proteinspiegeln mit Immunfluoreszenzmikroskopie,- Comparison of mRNA and protein levels using immunofluorescence microscopy,1
- Hochauflösende Mikroskopie des braunen Fettgewebes,- High-resolution microscopy of brown adipose tissue,1
- Integrative Quantifizierung und Analyse von Primärdaten und Gestaltung von Abbildungen,- Integrative quantification and analysis of primary data and design of illustrations,1
Protokoll (50 %),Report (50%),1
"V*, S*, E*","L*, S*, FT*",1
"Präsentation, wiss. Exposé (data sheets)","Presentation, research proposal (data sheets)",1
MP 27,MP27,1
"V, S*, prÜ*","L, S*, prE*",1
"Die Studierenden erwerben Grundlagen der Evolutionstheorie, Phylogenetik, Ökologie, Paläontologie und Physiologie.","Students learn the basics of evolutionary theory, phylogenetics, ecology, paleontology and physiology.",1
K*,C*,1
3 Sem. FS:,3 sem. PRS:,1
"1., 2. u. 3.","1st, 2nd or 3rd",1
wiss. Exposé (abstracts),Research proposal (abstracts),1
Disputation,Thesis Defense,1
OEP-M 4,OEP-M4,1
OEP-M1 bis OEP-M4 und 60 LP,OEP-M1 to OEP-M4 and 60 CP,1
Eigenständige Versuchsplanung und -auswertung sowie Verfassen einer wissenschaftlichen Abhandlung.,Students independently plan and evaluate an experiment and prepare a research paper.,1
MP 28,MP28,1
"V, S*, Ü","L, S*, E",1
Mündl. Prüfung,Oral examination,1
Bioinformatics for Master students – Beginner’s course,Bioinformatics for Master Students—Beginner’s Course,1
"Protokoll, Präsentationen, Wiss. Exposé (data sheet)","Report, presentations, research proposal (data sheet)",1
Präsentation (50 %),Presentation (50%),1
MP 29,MP29,1
"Präsentation, Wiss. Exposé (data sheet)","Presentation, research proposal (data sheet)",1
Beispiele aus der aktuellen Literatur werden vorgestellt und diskutiert.,Examples from current literature are presented and discussed.,1
OEP-A15 /PBCO1,OEP-A15/ PBCO1,1
"Präsentation (60 %), Protokolle (40 %)","Presentation (60%), reports (40%)",1
OEP-A17/TPP,OEP-A17/ TPP,1
Es werden moderne Methoden der molekularen Pflanzenphysiologie und Ökologie vorgestellt.,Modern methods of molecular plant physiology and ecology are introduced.,1
Statistische und graphische Auswertung und Präsentation der eigenen erarbeiteten experimentellen Ergebnisse,Statistical and graphical analysis and presentation of own experimental results,1
OEP-A18 /MBRE,OEP-A18/ MBRE,1
"P*, E*","LC*, FT*",1
Ziel des Moduls ist Methodenkompetenz.,The module focuses on teaching methodological skills.,1
Das Modul ist ein Laborkurs und wird spezifisch gestaltet.,The module is a lab course and is individually arranged.,1
Ziel des Kurses ist der Erwerb spezieller informatischer Kompetenz.,The course focuses on learning specific informatics skills.,1
Ziel des Kurses ist der Erwerb spezieller bioinformatischer Kompetenz.,The course focuses on learning specific bioinformatics skills.,1
"S*, P*","S*, LC*",1
"Referat (50%),",Seminar talk (50%),1
Präsentation (50%),Presentation (50%),1
2 Referate (je 50%),2 seminar talks (each 50%),1
OEP-A27/ MP 23,OEP-A27/ MP23,1
Hochauflösende Biostratigraphie Strukturanalyse von Großforaminiferen Anwendungen,High-resolution biostratigraphy and structural analyses of larger foraminifera.,1
Teilnahme-voraus-setzungen,Admission Requirements,1
Environment and Behaviour:,Environment and Behavior:,1
2 Referate (je 50 %),2 seminar talks (each 50%),1
Behavioural Ecology Theory,Behavioral Ecology Theory,1
MP 40,MP40,1
"V, PrÜ*","L, prE*",1
"Evolution, Phylogenie und Paläobiologie der Invertebraten.","Evolution, phylogeny and paleobiology of invertebrates.",1
MP 38,MP38,1
Dabei liegt ein Schwerpunkt auf angewandten Aspekten der Biodiversitätsforschung.,The focus is on the applied aspects of biodiversity research.,1
OEP-B10/ OB 2,OEP-B10/ OB2,1
V*,L*,1
"Präsentation (50 %),",Presentation (50%),1
OEP-B15/ MP 10,OEP-B15/ MP10,1
"Referat (50 %),",Seminar talk (50%),1
"2 Referate (je 20%),",2 seminar talks (each 20%),1
"V, S*, prÜ*, E*","L, S*, prE*, FT*",1
Eine Exkursion in den Kölner Zoo ist Teil des Moduls.,The module includes a field trip to the Cologne Zoo.,1
"Klausur (50 %),",Written examination (50%),1
Referat (25 %),Seminar talk (25%),1
OEP-B21/ MP 13,OEP-B21/ MP13,1
Specialization in Vertebrates Paleontology (Mammals),Specialization in Vertebrate Paleontology (Mammals),1
"Klausur (60%),",Written examination (60%),1
"Präsentation (30%),",Presentation (30%),1
OEP-B23/ MP 11,OEP-B23/ MP11,1
"V, S, E, GÜ*","L, S, FT, FW*",1
Protokoll zu GÜ (50%),Report on FW (50%),1
2 o. 3.,2nd or 3rd,1
Evolution of Mammals – Form and Function,Evolution of Mammals—Form and Function,1
Es lehrt die phylogenetische Rekonstruktion:,It uses phylogenetic reconstruction to examine,1
Morphologie und molekulare Daten und vergleichende Morphologie.,morphology and molecular data and comparative morphology.,1
Experimental Behavioural Ecology,Experimental Behavioral Ecology,1
Kleine Experimente werden von den Studierenden geplant.,Students plan small experiments.,1
"Als Versuchstiere stehen Stichlinge, Cichliden und Gammariden zur Verfügung.","Sticklebacks, cichlids and gammarids are available as experimental animals.",1
Zahlreiche Themen werden angeboten und mit aktuellen statistischen Verfahren analysiert.,Many topics are offered and analyzed using current statistical methods.,1
Genomics of Behaviour,Genomics of Behavior,1
In diesem Modul erhalten die Studierenden eine exemplarische Einführung in ökologische Feldstudien:,"In this module, students receive an introductory overview of ecological field studies:",1
"Versuchsplanung, Datenerhebung, Auswertung und Präsentation - mündlich und schriftlich.","experiment planning, data collection, evaluation, and presentations—oral and written.",1
"Poster (33 %),",Poster (33%),1
Das Modul besteht aus einer Vorlesungsreihe und einem Seminar.,The module consists of a series of lectures and a seminar.,1
"V, S*, P*, E*","L, S*, LC*, FT*",1
Es vermittelt Standards für die Untersuchung des Sozialverhaltens verschiedener Fischarten.,It teaches standards for studying the social behavior of various fish species.,1
Das Modul stellt die marine Makro- und Megafauna der nördlichen Bretagne vor.,This module introduces the marine macro- and megafauna of North Brittany.,1
3 Protokolle,3 reports,1
"S*, P*, E*","S*, LC*, FT*",1
Vegetation Ecology (including Excursion),Vegetation Ecology (including Field Trip),1
"Ü *, S*, E*","E*, LC*, FT*",1
Protokolle (50 %),Reports (50%),1
Ziel des Kurses ist der Erwerb von Kompetenzen zur Freilandarbeit.,The course focuses on learning skills for field work.,1
Die im Feld erhobenen Daten werden abschließend statistisch ausgewertet.,The data collected in the field will then be statistically evaluated.,1
Modulplan für den konsekutiven Masterstudiengang „Paleontology“,Module structure for the consecutive master’s degree program Paleontology,1
I. Pflichtmodule,I. Compulsory Modules,1
MP 01,MP01,1
Präsentation BSc.,Presentation BSc,1
"(50%),",(50%),1
Präsentation MSc.,Presentation MSc,1
MP 02,MP02,1
"S*, GÜ*","S*, FW*",1
1.‐3.,1st to 3rd,1
"Präsentationw (50%),",Presentationr (50%),1
Protokoll zu GÜw (50%),Report on FWr (50%),1
MP 08,MP08,1
Exposé zur Masterarbeit,Research proposal for master’s thesis,1
MP 09,MP09,1
60 LP aus Modulen der ersten 3 Semester,60 CP from the modules in the first 3 semesters,1
Fachgebundene Wahlpflichtmodule,Subject-Specific Elective Modules,1
MP 10/,MP10/,1
Vertebrate paleontology I:,Vertebrate Palaeontology I:,1
1. od. 3.,1st or 3rd,1
MP 11/,MP11/,1
Vertebrate paleontology II1,Vertebrate Palaeontology II1,1
MP 13/,MP13/,1
Specialization in Vertebrate Paleontology (Mammals) 1,Specialization in Vertebrate Paleontology (Mammals)1,1
MP 20,MP20,1
MP 23/ OEP-A27,MP23/ OEP-A27,1
MP 30,MP30,1
Einblick in multidisziplinäre Arbeitsmethoden der terrestrischen Paläoökologie und ‐klimatologie,Insight into multidisciplinary working methods in terrestrial paleoecology and paleoclimatology,1
MP 40/,MP40/,1
Paleobiology of Invertebrates2,Palaeobiology of Invertebrates2,1
"Evolution, Phylogenie und Paläobiologie der Invertebraten","Evolution, Phylogeny and Paleobiology of Invertebrates",1
MP 16,MP16,1
1 Sem. FS:,1 sem. PRS:,1
1.‐4.,1st to 4th,1
Tutorien und Lehrbetreuung mit 15 h Kontaktzeit,Tutorials and teaching supervision with 15 h of contact time.,1
Protokollw,Reportr,1
MP 03,MP03,1
mindestens 4‐ wöchiges Berufspraktikum Geowissenschaften,Internship in geosciences lasting at least 4 weeks.,1
MP 14,MP14,1
"GÜ*, PrÜ*","FW*, prE*",1
MP 15,MP15,1
MP 21,MP21,1
"E, S*","FT, S*",1
Projektarbeit zur Geländeübung,Project work related to the field work,1
M 88,M88,1
GIS-Anwendungen in den Geowissenschaften,GIS Applications in the Geosciences,1
MG 41,MG41,1
Einführung in die geologische 3D‐Modellierung,Introduction to Geological 3D-Modelling,1
1. od. 2 od. 3.,1st or 2nd or 3rd,1
MG 53,MG53,1
Geologische Naturgefahren,Geological Natural Hazards,1
MG 30,MG30,1
Sedimentäre Fazies und Faziesarchitektur,Sedimentary Facies and Facies Architecture,1
M 85,M85,1
MG 20,MG20,1
Sediment- geochemische Arbeitsmethoden,Working methods in Sediment Geochemistry,1
MG 21,MG21,1
Sediment-petrologische Labormethoden,Lab Methods in Sediment Petrology,1
MG 22,MG22,1
Marine Sedimente als Umweltarchive,Marine Sediments as Environmental Archives,1
MGP 12,MGP12,1
Isotopengeochemie,Isotope Geochemistry,1
MGP 21,MGP21,1
Vulkanologie,Volcanology,1
MP 26/,MP26/,1
Sem. od. 3.,or 3rd,1
"V, S*,","L, S*",1
PrÜ*,prE*,1
MP 27/,MP27/,1
MP 28/,MP28/,1
MP 29/,MP29/,1
MP 31/ OEP-A15/,MP31/ OEP-A15/,1
MP 32/ OEP-A16/ PBCO2,MP32/ OEP-A16/ PBCO2,1
MP 33/ OEP-B13/,MP33/ OEP-B13/,1
MP 36/,MP36/,1
MP 37/,MP37/,1
MP 38/,MP38/,1
Modulplan für den konsekutiven Masterstudiengang „Plant Sciences“,Module structure for the consecutive master’s degree program Plant Sciences,1
Abkürzungen für Veranstaltungsformen:,Abbreviations of course types:,1
Organismic Botany 1 – Plant Systematics and Biodiversity,Organismic Botany 1—Plant Systematics and Biodiversity,1
"Ebenso werden Grundlagen der Morphologie, Taxonomie und Systematik gelehrt.","Students also learn the basics of morphology, taxonomy and systematics.",1
Organismic Botany 2 – Vegetation and Plant Ecology,Organismic Botany 2—Vegetation and Plant Ecology,1
Master Thesis Work,Master’s Thesis Work,1
"mind. 60 LP OB1, OB2, PBPM0, PGMA","At least 60 CP OB1, OB2, PBPM0, PGMA",1
Eigenständige Versuchsplanung und –auswertung sowie Verfassen einer wissenschaftlichen Abhandlung,Students independently plan and evaluate an experiment and prepare a research paper,1
Verschiedene Aspekte der Pflanzen/Umwelt Interaktion werden behandelt.,Various aspects of plant-environment interactions are covered.,1
Die Studierenden erhalten einen Überblick über von Pflanzen produzierte Sekundärmetabolite.,Students gain an overview of the secondary metabolites produced by plants.,1
Die allgemeinen und besonderen Funktionen bestimmter Sekundärmetabolite werden erörtert.,The general and special functions of certain secondary metabolites are discussed.,1
Plant Organelles –Structure and Function,Plant Organelles—Structure and Function,1
"Pflanzenmolekularbiologie, Genetik, Biochemie, Biotechnologie","Plant molecular biology, genetics, biochemistry, biotechnology",1
Anwendung anspruchsvoller molekularbiologischer Techniken in der Pflanzenpysiologie.,Use of sophisticated molecular biological techniques in plant physiology.,1
"Erfahrung in der selbstständigen Versuchsplanung, -durchführung und -protokollierung.","Experience in independent experimental planning, performance and record keeping.",1
Kritische Dateninterpretation und –präsentation.,Critical data interpretation and presentation.,1
Teilnahme an einem Experiment,Participation in an experiment,1
"Poster (50 %), Protokoll (50 %)","Poster (50%), report (50%)",1
Plant Cellular Signalling,Plant Cellular Signaling,1
"Pflanzenmolekularbiologie, Zelle, Kallus, Protoplasten, Pflanzentransformation, Reporterkonstrukte, PCR","Plant molecular biology, cells, callus, protoplasts, plant transformation, reporter constructs, PCR.",1
"Präsentation (30 %), Protokoll (70 %)","Presentation (30%), reports (70%)",1
"Pflanzenmolekularbiologie, biochemische Analytik:","Plant molecular biology, biochemical analytics:",1
"DC, HPLC, GC-MS","DC, HPLC, GC-MS.",1
Protein Biochemistry and Biotechnologie,Protein Biochemistry and Biotechnology,1
"1., 2., 3. o. 4.","1st, 2nd, 3rd or 4th",1
"Die Studierenden können die durchgeführten Versuche präzise dokumentieren, auswerten und bewerten.","Students can accurately document, evaluate and assess the experiments performed.",1
Bei ihren Untersuchungen bedienen sie sich insbesondere lichtmikroskopischer Methoden.,They mainly use light microscopic methods in their studies.,1
Wahlpflichtbereich D (Freie Wahlmodule),Elective Modules D (optional electives),1
Vegetation Ecology (incl. Excursion),Vegetation Ecology (incl. Field Trip),1
"E*, S*, P*","FT*, S*, LC*",1
"V*, P*","L*, LC*",1
2. o. 4.,2nd or 4th,1
V* P*,"L*, LC*",1
"Nach erfolgreichem Abschluss des Moduls, können die Studierenden…","After completing the module, students will be able to",1
- DNA-Marker-Techniken verstehen und anwenden.,- understand and apply DNA marker techniques;,1
- die Hochdurchsatz-Genotypisierung verstehen und anwenden.,- understand and apply high throughput genotyping;,1
- die Genomanalyse mit Sequenziermethoden der nächsten Generation verstehen und anwenden.,- understand and apply genomic analysis using next generation sequencing methods;,1
- die genetische Kopplungsanalyse und die Entwicklung von Kopplungskarten verstehen und anwenden.,- understand and apply genetic linkage analysis and linkage map development;,1
- die Isolierung von Genen und ihre allelische Diversität verstehen und anwenden.,- understand and apply the isolation of genes and their allelic diversity;,1
PBPMO oder Crop Physiology; mindestens ein praktischer Laborkurs,PBPMO or Crop Physiology; at least one practical lab course,1
"1., 2. o. 3.","1st, 2nd or 3rd",1
Teilnahme an 8 Botanischen Kolloquien,Participation in 8 botanical colloquia,1
Prüfungs-form,Type of Examination,1
FREE1 - Allgemeine Pflanzen-wissen-schaften.,FREE1—General Plant Sciences,1
"V/P/S, wie im jeweiligen Studiengang angegeben.","L/LC/S, as indicated in the degree program concerned",1
Wie im jeweiligen Studiengang angegeben,As indicated in the degree program concerned,1
"Die Studierenden erwerben Kenntnisse von theoretischen Aspekten (Literaturrecherche, Datenauswertung, Protokollführung, Vortragstechniken).","Students acquire theoretical knowledge (literature research, data analysis, record keeping, presentation techniques).",1
Wie im jeweiligen Studiengang angegeben.,As indicated in the degree program concerned,1
"1-10, wie im jeweiligen Studiengang angegeben.","1–10, as indicated in the degree program concerned",1
FREE2 – Internship in Plant Sciences.,FREE2—Internship in Plant Sciences,1
I.d.R. ist die Dauer sechs Wochen für 10 ETCS-LP.,"As a rule, the duration is six weeks for 10 ETCS CP.",1
FREE3 – Verwandte Naturwissen-schaften,FREE3—Related Natural Sciences,1
FREE4 – Angrenzende akademische Studien,FREE4—Related Academic Studies,1
Der Prüfungsausschuss kann weitere Wahlpflichtmodule genehmigen.,The examination board may approve other elective modules.,1
Absatz 5 Satz 2 bleibt unberührt.,Sentence 2 of paragraph 5 remains unaffected.,1
- Mikrobiologie,- Microbiology,1
- Zellbiologie.,- Cell biology,1
Die Prüfungsleistung wird von den beiden Prüfer*innen jeweils gesondert nach Punkten bewertet.,The two examiners assign separate point scores for the examination.,1
Bewerbungsschluss ist jeweils der 15. April.,The application deadline is April 15.,1
- Evolutionsbiologie,- Evolutionary biology,1
- Zoologie,- Zoology,1
- Botanik,- Botany,1
- Paläontologie.,- Paleontology,1
- Erdgeschichte und Gesteinskunde,- Geology and petrology,1
- Paläozoologie,- Paleozoology,1
- (Paläo-)Botanik,- (Paleo)botany,1
- Paläontologie und Evolutionsbiologie.,- Paleontology and evolutionary biology,1
Modulcode nach Modulplan ALT,Module Code according to Module Structure OLD,1
Ggf. neuer Modulname nach Modulplan NEU,"If applicable, new module name according to Module Structure NEW",1
M 01,M01,1
M 02,M02,1
MP 10,MP10,1
Vertebrate paleontology I,Vertebrate Palaeontology I,1
MP 11,MP11,1
Vertebrate paleontology II,Vertebrate Palaeontology II,1
MP 12,MP12,1
MP 13,MP13,1
MP 23,MP23,1
MP 23/OEP-A27,MP23/OEP-A27,1
Paleobiology of Invertebrates,Palaeobiology of Invertebrates,1
M 80,M80,1
M 81,M81,1
M 82,M82,1
M 83,M83,1
M 84,M84,1
M 03,M03,1
M 04,M04,1
Importmodule aus fachnahen Masterstudiengängen,Import modules from related master’s degree programs,1
Bis zum Erreichen von 18 ECTS-LP in diesen Bereich:,Until 18 ECTS CP have been acquired in these modules:,1
Eine Laborübung soll in der Arbeitsgruppe der Masterarbeit geleistet werden.,One lab is to be taken in the master’s thesis working group.,1
Ringvorlesung Landwirtschaftliche und Lebensmittel-mikrobiologie,Agricultural and Food Microbiology Lecture Series,1
1. u. 2.,1st and 2nd,1
Masterarbeit,Master’s thesis,1
(Inhalt) und Qualifikationsziel,(Content) and Qualification Objective,1
4.,4th,1
1. o. 3.,1st or 3rd,1
Phenotypisation and cladistic analysis of morphological characters,Phenotypisation and Cladistic Analysis of Morphological,1
P*,I*,1
Seite |,Page |,1
Änderungsordnung zur und zugleich Neubekanntmachung der,Amendment to and Re-Announcement of the,1
Evaluations- und Akkreditierungsordnung Studium und Lehre (EvAO),Evaluation and Accreditation Regulations for Teaching and Learning (EvAO),1
vom,dated,1
"S. 1222), hat die Rheinische Friedrich-Wilhelms-Universität Bonn die folgende Ordnung erlassen:","p. 1222), the University of Bonn has adopted the following Regulations:",1
Teil I:,Part I:,1
"Regelungsbereich, Grundsätze und Qualitätsmanagementsystem","Regulatory scope, principles and quality management system",1
§ 2 Grundsätze,§ 2 Principles,1
§ 3 Qualitätsmanagementsystem,§ 3 Quality management system,1
Teil II:,Part II:,1
Evaluationen,Evaluations,1
§ 4 Ziele von Evaluationen,§ 4 Evaluation goals,1
Sie dient insbesondere folgenden Teilzielen:,"In particular, they serve to fulfill the following subgoals:",1
"Stärkung der internen Selbstkontrollmechanismen,",Strengthening internal self-regulation mechanisms,1
"Ableitung und Umsetzung von Maßnahmen zur Optimierung der Studien- und Prüfungsorganisation,",Deriving and implementing measures to optimize how studies and examinations are organized,1
"Förderung eines Diskurses zwischen Lehrenden und Lernenden,",Fostering discourse between teachers and learners,1
§ 5 Zuständigkeiten für Evaluationen,§ 5 Responsibility for evaluations,1
§ 6 Verfahren der Evaluation,§ 6 Evaluation process,1
Evaluationen finden an der Universität Bonn auf vier unterschiedlichen Ebenen statt.,"At the University of Bonn, evaluations take place on four different levels.",1
Hierbei handelt es sich um die Ebenen,This includes the following levels:,1
"der Lehrveranstaltungen und Module,",Courses and modules,1
"der Studiengänge,",Degree programs,1
der Fakultäten bzw. Lehreinheiten und,Faculties or teaching units,1
des Gesamtsystems.,Overall system,1
Als standardisierte Methoden und Instrumente stehen hierfür insbesondere zur Verfügung:,In particular the following standardized methods and tools are available:,1
Befragungen zur Lehrveranstaltungsevaluation:,Surveys for course evaluations:,1
Die Abstimmung zur Ausgestaltung des Fragenbogens wird durch die Evaluationsbeauftragten koordiniert.,The questionnaire design is coordinated by the evaluation officers.,1
Befragungen zur Lehrveranstaltungsevaluation können sowohl online als auch papiergestützt durchgeführt werden.,Surveys for course evaluations can be carried out online or on paper.,1
Befragungen zur Modulevaluation:,Surveys for module evaluations:,1
Allgemeine Studierendenbefragung:,General student survey:,1
Die Ergebnisse werden ausgewertet und inneruniversitär veröffentlicht.,The results are assessed and published within the University.,1
Sie werden ferner den Evaluationsbeauftragten und den EPGs zur Verfügung gestellt.,They are also provided to the evaluation officers and the EPGs.,1
Absolvent*innenbefragung mit dem Institut für angewandte Statistik (ISTAT):,Graduate surveys with the Institute for Applied Statistics (ISTAT):,1
Studienverlaufsauswertung:,Evaluating study progression:,1
Sie werden entsprechend den hierfür geltenden Fristen zur Verfügung gestellt.,They are made available according to the applicable deadlines.,1
"§ 7 Ableitung, Umsetzung und Überprüfung von Maßnahmen der Evaluation","§ 7 Deriving, implementing and reviewing evaluation measures",1
Mindestens 30% der Mitglieder sind für Studierende vorzusehen.,At least 30% of the members are to be students.,1
Für jede Statusgruppe werden genügend Stellvertretungen gewählt.,"For each status group, a sufficient number of deputies are elected.",1
Den Vorsitz hat die*der Evaluationsbeauftragte inne.,The evaluation officer is the chair.,1
Die zuständigen Prüfungsausschüsse sollen beteiligt werden.,The responsible examination boards should be included.,1
Akkreditierung,Accreditation,1
§ 8 Grundsätze der Systemakkreditierung,§ 8 Principles of system accreditation,1
Akkreditierte Studiengänge bedürfen mindestens alle acht Jahre einer Reakkreditierung.,Accredited degree programs need to be re-accredited at least every eight years.,1
§ 9 Ziele von internen Akkreditierungen,§ 9 Goals of internal accreditation procedures,1
§ 10 Zuständigkeiten für interne Akkreditierungen,§ 10 Responsibilities in internal accreditation procedures,1
Hierunter fallen insbesondere,This includes in particular the following:,1
§ 11 Akkreditierungskommission,§ 11 Accreditation commission,1
Mitglieder der Akkreditierungskommission sind,The members of the accreditation commission are the following:,1
"je Fakultät eine*ein Hochschullehrer*in,",One university professor from each faculty,1
"drei akademische Mitarbeiter*innen,",Three academic staff members,1
"eine*ein Mitarbeiter*in aus Technik und Verwaltung,",One member of administrative or technical staff,1
drei Studierende.,Three students,1
Für jedes Mitglied wird eine Stellvertretung bestimmt.,A deputy is to be determined for each member.,1
§ 12 Vorsitz und Stellvertretung,§ 12 Chair and deputy,1
§ 13 Gutachter*innen,§ 13 Reviewers,1
§ 14 Verfahren der internen Akkreditierung,§ 14 Internal accreditation procedure,1
Das Verfahren der internen Akkreditierung umfasst,The internal accreditation procedure includes the following:,1
"die Prüfung formaler Aspekte (Absatz 3),",Auditing formal aspects (paragraph 3),1
die Prüfung fachlich-inhaltlicher Aspekte (Absatz 4) sowie,Auditing subject-specific content aspects (paragraph 4),1
die Akkreditierungsentscheidung (Absatz 5).,Reaching the accreditation decision (paragraph 5),1
(Re-)Akkreditierungen sind auf maximal acht Jahre zu befristen.,(Re-)accreditation is valid for a maximum of eight years.,1
Die Akkreditierungskommission kann ferner sogenannte „Empfehlungen“ aussprechen.,The accreditation commission can also give recommendations.,1
